Chr	Start	Gene_symbol	ENSG_ID
1	1344475	AL391244.3	ENSG00000272455
1	1357148	ANKRD65	ENSG00000235098
1	1357848	AL391244.2	ENSG00000225905
1	1361507	TMEM88B	ENSG00000205116
1	1369952	LINC01770	ENSG00000225285
1	1370240	VWA1	ENSG00000179403
1	1385068	ATAD3C	ENSG00000215915
1	1407142	ATAD3B	ENSG00000160072
1	1447530	ATAD3A	ENSG00000197785
1	1475832	TMEM240	ENSG00000205090
1	1510248	SSU72	ENSG00000160075
1	1510354	AL645728.1	ENSG00000215014
1	1535475	FNDC10	ENSG00000228594
1	1551174	AL691432.2	ENSG00000272106
1	1551258	MIB2	ENSG00000197530
1	1567473	MMP23B	ENSG00000189409
1	1590472	CDK11B	ENSG00000248333
1	1603428	AL691432.1	ENSG00000269737
1	1624166	SLC35E2B	ENSG00000189339
1	1631368	MMP23A	ENSG00000215914
1	1655765	CDK11A	ENSG00000008128
1	1655950	AL031282.1	ENSG00000227775
1	1677430	SLC35E2A	ENSG00000215790
1	1711895	NADK	ENSG00000008130
1	1822494	GNB1	ENSG00000078369
1	1822909	AL109917.1	ENSG00000231050
1	1846265	CALML6	ENSG00000169885
1	1850711	TMEM52	ENSG00000178821
1	1935152	CFAP74	ENSG00000142609
1	1946968	AL391845.2	ENSG00000233542
1	1950779	GABRD	ENSG00000187730
1	1981508	AL391845.1	ENSG00000226969
1	1981908	PRKCZ	ENSG00000067606
1	2076717	AL590822.2	ENSG00000271806
1	2115827	PRKCZ-AS1	ENSG00000182873
1	2139171	FAAP20	ENSG00000162585
1	2151973	AL590822.1	ENSG00000234396
1	2160133	SKI	ENSG00000157933
1	2258131	AL589739.1	ENSG00000272161
1	2284258	AL513477.1	ENSG00000269896
1	2295066	AL513477.2	ENSG00000272420
1	2323145	MORN1	ENSG00000116151
1	2323266	RER1	ENSG00000157916
1	2345235	PEX10	ENSG00000157911
1	2357418	PLCH2	ENSG00000149527
1	2424696	AL139246.1	ENSG00000224387
1	2425917	AL139246.4	ENSG00000229393
1	2458038	PANK4	ENSG00000157881
1	2461683	HES5	ENSG00000197921
1	2477903	AL139246.5	ENSG00000272449
1	2488135	TNFRSF14	ENSG00000157873
1	2488469	TNFRSF14-AS1	ENSG00000238164
1	2497848	AL139246.2	ENSG00000225931
1	2512998	AL139246.3	ENSG00000228037
1	2517929	PRXL2B	ENSG00000157870
1	2564006	AL831784.1	ENSG00000237058
1	2564480	MMEL1	ENSG00000142606
1	2718285	TTC34	ENSG00000215912
1	2729256	AL592464.2	ENSG00000233234
1	2731562	AL592464.1	ENSG00000231630
1	2938045	ACTRT2	ENSG00000169717
1	2985000	LINC00982	ENSG00000177133
1	2985731	PRDM16	ENSG00000142611
1	3050272	AL008733.1	ENSG00000226286
1	3226659	AL590438.1	ENSG00000272235
1	3370989	ARHGEF16	ENSG00000130762
1	3403809	AL512413.1	ENSG00000272088
1	3528058	MEGF6	ENSG00000162591
1	3541306	AL513320.1	ENSG00000238260
1	3541565	TPRG1L	ENSG00000158109
1	3569083	TP73	ENSG00000078900
1	3569324	WRAP73	ENSG00000116213
1	3585335	AL136528.1	ENSG00000227589
1	3630861	AL136528.2	ENSG00000235131
1	3663899	TP73-AS1	ENSG00000227372
1	3668961	CCDC27	ENSG00000162592
1	3689351	SMIM1	ENSG00000235169
1	3699378	RN7SL574P	ENSG00000266075
1	3701571	AL365330.1	ENSG00000272153
1	3713067	LRRC47	ENSG00000130764
1	3773777	CEP104	ENSG00000116198
1	3773844	DFFB	ENSG00000169598
1	3816848	C1orf174	ENSG00000198912
1	3816935	LINC01134	ENSG00000236423
1	4000672	LINC01346	ENSG00000233304
1	4009039	LINC01345	ENSG00000226374
1	4472110	LINC01777	ENSG00000235054
1	4612204	Z98747.1	ENSG00000227169
1	4631607	LINC01646	ENSG00000232596
1	4714791	AJAP1	ENSG00000196581
1	5150958	AL691497.1	ENSG00000231510
1	5553037	Z98259.1	ENSG00000260972
1	6051525	KCNAB2	ENSG00000069424
1	6052421	NPHP4	ENSG00000131697
1	6240182	CHD5	ENSG00000116254
1	6265839	AL031847.1	ENSG00000226944
1	6266188	RNF207	ENSG00000158286
1	6269448	RPL22	ENSG00000116251
1	6296031	ICMT	ENSG00000116237
1	6296299	LINC00337	ENSG00000225077
1	6304251	HES3	ENSG00000173673
1	6321034	GPR153	ENSG00000158292
1	6453613	ACOT7	ENSG00000097021
1	6484729	HES2	ENSG00000069812
1	6484847	ESPN	ENSG00000187017
1	6507065	AL031848.1	ENSG00000231868
1	6526150	TNFRSF25	ENSG00000215788
1	6580120	PLEKHG5	ENSG00000171680
1	6607964	AL591866.1	ENSG00000229519
1	6614594	NOL9	ENSG00000162408
1	6615240	TAS1R1	ENSG00000173662
1	6640060	ZBTB48	ENSG00000204859
1	6673744	PHF13	ENSG00000116273
1	6674666	KLHL21	ENSG00000162413
1	6684925	THAP3	ENSG00000041988
1	6761983	DNAJC11	ENSG00000007923
1	6784696	LINC01672	ENSG00000228750
1	6844902	CAMTA1-DT	ENSG00000237436
1	6845383	CAMTA1	ENSG00000171735
1	7429002	CAMTA1-IT1	ENSG00000237402
1	7449813	Z97987.1	ENSG00000237728
1	7501613	AL365194.1	ENSG00000225126
1	7754903	AL359881.3	ENSG00000270171
1	7758931	AL359881.2	ENSG00000270035
1	7761029	AL359881.1	ENSG00000269978
1	7831328	VAMP3	ENSG00000049245
1	7836442	Z98884.2	ENSG00000269925
1	7844379	PER3	ENSG00000049246
1	7887176	Z98884.1	ENSG00000236266
1	7913571	UTS2	ENSG00000049247
1	8000925	TNFRSF9	ENSG00000049249
1	8014350	PARK7	ENSG00000116288
1	8043042	RF00019	ENSG00000200344
1	8086367	ERRFI1	ENSG00000116285
1	8086797	AL034417.2	ENSG00000238290
1	8118522	AL034417.1	ENSG00000232848
1	8268731	LINC01714	ENSG00000227634
1	8377885	SLC45A1	ENSG00000162426
1	8484704	AL096855.1	ENSG00000232912
1	8810488	RPL7P11	ENSG00000234619
1	8846971	RPL7P7	ENSG00000224315
1	8877701	RERE	ENSG00000142599
1	8939307	ENO1	ENSG00000074800
1	8939623	ENO1-AS1	ENSG00000230679
1	8953467	HMGN2P17	ENSG00000238249
1	8967802	AL139415.1	ENSG00000232208
1	9005925	CA6	ENSG00000131686
1	9039932	RN7SL451P	ENSG00000265141
1	9086403	SLC2A7	ENSG00000197241
1	9148536	SLC2A5	ENSG00000142583
1	9189228	GPR157	ENSG00000180758
1	9242354	LNCTAM34A	ENSG00000234546
1	9262677	MIR34AHG	ENSG00000228526
1	9294833	H6PD	ENSG00000049239
1	9352938	SPSB1	ENSG00000171621
1	9563529	AL928921.1	ENSG00000235263
1	9599540	SLC25A33	ENSG00000171612
1	9636484	AL954705.1	ENSG00000231181
1	9648931	TMEM201	ENSG00000188807
1	9711789	PIK3CD	ENSG00000171608
1	9714643	PIK3CD-AS1	ENSG00000179840
1	9747612	PIK3CD-AS2	ENSG00000231789
1	9884583	CLSTN1	ENSG00000171603
1	9970393	CTNNBIP1	ENSG00000178585
1	10002980	AL357140.2	ENSG00000228150
1	10003464	LZIC	ENSG00000162441
1	10003485	NMNAT1	ENSG00000173614
1	10007375	RN7SKP269	ENSG00000202415
1	10057263	RBP7	ENSG00000162444
1	10092889	UBE4B	ENSG00000130939
1	10118728	PGAM1P11	ENSG00000233623
1	10270862	KIF1B	ENSG00000054523
1	10458648	PGD	ENSG00000142657
1	10490733	AL139424.1	ENSG00000271989
1	10490839	CENPS	ENSG00000175279
1	10509775	CORT	ENSG00000241563
1	10532582	DFFA	ENSG00000160049
1	10534943	PEX14	ENSG00000142655
1	10676892	RN7SL614P	ENSG00000243267
1	10700116	AL139423.1	ENSG00000272078
1	10856706	CASZ1	ENSG00000130940
1	11042093	C1orf127	ENSG00000175262
1	11051853	CFL1P6	ENSG00000215785
1	11072413	TARDBP	ENSG00000120948
1	11089715	AL109811.3	ENSG00000271895
1	11107289	MASP2	ENSG00000009724
1	11120080	SRM	ENSG00000116649
1	11128527	AL109811.1	ENSG00000226849
1	11158212	EXOSC10	ENSG00000171824
1	11159731	AL109811.2	ENSG00000230337
1	11249397	ANGPTL7	ENSG00000171819
1	11322563	MTOR	ENSG00000198793
1	11333262	UBIAD1	ENSG00000120942
1	11339407	UBE2V2P3	ENSG00000238199
1	11539222	DISP3	ENSG00000204624
1	11669587	LINC01647	ENSG00000235643
1	11714913	FBXO44	ENSG00000132879
1	11715841	FBXO2	ENSG00000116661
1	11724180	FBXO6	ENSG00000116663
1	11751706	MAD2L2	ENSG00000116670
1	11751785	DRAXIN	ENSG00000162490
1	11796140	AGTRAP	ENSG00000177674
1	11821843	C1orf167	ENSG00000215910
1	11839675	AL953897.1	ENSG00000177553
1	11866976	MTHFR	ENSG00000177000
1	11867187	CLCN6	ENSG00000011021
1	11908401	NPPA	ENSG00000175206
1	11918987	NPPB	ENSG00000120937
1	11937826	AL021155.1	ENSG00000224904
1	11968208	RNU5E-1	ENSG00000199347
1	11986484	KIAA2013	ENSG00000116685
1	11994261	PLOD1	ENSG00000083444
1	12040237	MFN2	ENSG00000116688
1	12079522	MIIP	ENSG00000116691
1	12123433	TNFRSF8	ENSG00000120949
1	12227059	TNFRSF1B	ENSG00000028137
1	12290123	VPS13D	ENSG00000048707
1	12567299	SNORA59A	ENSG00000239149
1	12587765	AC243836.1	ENSG00000229484
1	12630099	RNU6ATAC18P	ENSG00000221340
1	12677736	DHRS3	ENSG00000162496
1	12679249	AC254633.1	ENSG00000272482
1	12704565	AADACL4	ENSG00000204518
1	12776117	AADACL3	ENSG00000188984
1	12806162	C1orf158	ENSG00000157330
1	12834983	PRAMEF12	ENSG00000116726
1	12851545	PRAMEF1	ENSG00000116721
1	12883021	LINC01784	ENSG00000228338
1	12908577	HNRNPCL1	ENSG00000179172
1	12916940	PRAMEF2	ENSG00000120952
1	12958100	PRAMEF10	ENSG00000187545
1	13184325	HNRNPCL4	ENSG00000179412
1	13411550	PRAMEF33	ENSG00000237700
1	13673510	PRAMEF14	ENSG00000204481
1	13840542	LRRC38	ENSG00000162494
1	13840785	AL354712.1	ENSG00000259961
1	13909959	PDPN	ENSG00000162493
1	13986404	AL359771.1	ENSG00000237445
1	14026692	PRDM2	ENSG00000116731
1	14549612	AL357873.1	ENSG00000231606
1	14677517	KAZN-AS1	ENSG00000234593
1	14925199	KAZN	ENSG00000189337
1	15478959	TMEM51-AS1	ENSG00000175147
1	15479027	TMEM51	ENSG00000171729
1	15497812	C1orf195	ENSG00000204464
1	15519340	AL035405.1	ENSG00000215720
1	15573767	FHAD1	ENSG00000142621
1	15661959	AL031283.3	ENSG00000236045
1	15670371	AL031283.2	ENSG00000233485
1	15735928	AL031283.1	ENSG00000228140
1	15736390	EFHD2	ENSG00000142634
1	15764934	CTRC	ENSG00000162438
1	15783222	CELA2A	ENSG00000142615
1	15792403	CELA2B	ENSG00000215704
1	15853028	CASP9	ENSG00000132906
1	15853307	DNAJC16	ENSG00000116138
1	15892311	AL121992.3	ENSG00000272510
1	15911604	AGMAT	ENSG00000116771
1	15930120	AL121992.1	ENSG00000237301
1	15931076	CHCHD2P6	ENSG00000235084
1	15943994	DDI2	ENSG00000197312
1	16009622	AL121992.2	ENSG00000271742
1	16010826	PLEKHM2	ENSG00000116786
1	16062899	SLC25A34	ENSG00000162461
1	16063390	AL450998.2	ENSG00000237938
1	16068916	TMEM82	ENSG00000162460
1	16076390	SLC25A34-AS1	ENSG00000224459
1	16083101	FBLIM1	ENSG00000162458
1	16119290	RPL12P14	ENSG00000224321
1	16134193	UQCRHL	ENSG00000233954
1	16154723	AL450998.1	ENSG00000178715
1	16163400	FLJ37453	ENSG00000179743
1	16174358	SPEN	ENSG00000065526
1	16302626	ZBTB17	ENSG00000116809
1	16330730	SRARP	ENSG00000183888
1	16345369	CLCNKA	ENSG00000186510
1	16346088	HSPB7	ENSG00000173641
1	16366523	AL355994.2	ENSG00000232456
1	16370271	CLCNKB	ENSG00000184908
1	16400126	FAM131C	ENSG00000185519
1	16481705	AL451042.2	ENSG00000227959
1	16482581	EPHA2	ENSG00000142627
1	16485760	AL451042.1	ENSG00000224621
1	16539103	ARHGEF19	ENSG00000142632
1	16554521	ANO7L1	ENSG00000237276
1	16563656	CPLANE2	ENSG00000132881
1	16567892	MT1XP1	ENSG00000233929
1	16678948	FBXO42	ENSG00000037637
1	16679069	SZRD1	ENSG00000055070
1	16696024	RPL22P3	ENSG00000226457
1	16763918	SPATA21	ENSG00000187144
1	16767166	NECAP2	ENSG00000157191
1	16787442	LINC01772	ENSG00000226029
1	16825751	CROCCP3	ENSG00000080947
1	16841139	AL137802.2	ENSG00000261135
1	16847188	AL137802.1	ENSG00000224174
1	16862143	LINC01783	ENSG00000233421
1	16865560	AC213203.1	ENSG00000268674
1	16879025	AL355149.1	ENSG00000225710
1	16940056	NBPF1	ENSG00000219481
1	16943885	AL137798.1	ENSG00000271732
1	16961053	CROCCP2	ENSG00000215908
1	16972068	MST1P2	ENSG00000186301
1	17012549	EIF1AXP1	ENSG00000236698
1	17046651	ESPNP	ENSG00000268869
1	17066767	CROCC	ENSG00000058453
1	17076727	CROCCP4	ENSG00000227684
1	17096731	MST1L	ENSG00000186715
1	17181901	BX284668.3	ENSG00000230239
1	17197439	BX284668.2	ENSG00000228549
1	17215589	BX284668.4	ENSG00000235241
1	17216143	BX284668.5	ENSG00000238142
1	17231270	BX284668.6	ENSG00000272426
1	17305420	AL049569.1	ENSG00000226526
1	17307329	MFAP2	ENSG00000117122
1	17338422	ATP13A2	ENSG00000159363
1	17380664	SDHB	ENSG00000117118
1	17445947	PADI2	ENSG00000117115
1	17516277	AL590644.1	ENSG00000204362
1	17531620	PADI1	ENSG00000142623
1	17575592	PADI3	ENSG00000142619
1	17634689	PADI4	ENSG00000159339
1	17766219	RCC2	ENSG00000179051
1	17866329	ARHGEF10L	ENSG00000074964
1	18044181	AL136529.1	ENSG00000236648
1	18081807	ACTL8	ENSG00000117148
1	18392150	LINC01654	ENSG00000261781
1	18434239	IGSF21	ENSG00000117154
1	18505839	IGSF21-AS1	ENSG00000230035
1	18712322	AL591896.1	ENSG00000225387
1	18807423	KLHDC7A	ENSG00000179023
1	18957499	PAX7	ENSG00000009709
1	19186175	TAS1R2	ENSG00000179002
1	19229274	ALDH4A1	ENSG00000159423
1	19283179	IFFO2	ENSG00000169991
1	19402004	AL137127.1	ENSG00000272084
1	19536769	UBR4	ENSG00000127481
1	19536994	AL035413.1	ENSG00000230424
1	19578031	EMC1	ENSG00000127463
1	19578046	MRTO4	ENSG00000053372
1	19600687	AKR7L	ENSG00000211454
1	19615743	AKR7A3	ENSG00000162482
1	19623573	AL035413.2	ENSG00000270728
1	19638639	AKR7A2	ENSG00000053371
1	19638819	PQLC2	ENSG00000040487
1	19812065	CAPZB	ENSG00000077549
1	19923325	AL031727.2	ENSG00000235185
1	19923476	MINOS1	ENSG00000173436
1	19934607	AL031727.1	ENSG00000226396
1	19967047	NBL1	ENSG00000158747
1	19991779	HTR6	ENSG00000158748
1	20126437	TMCO4	ENSG00000162542
1	20141770	RNF186	ENSG00000178828
1	20145735	AL391883.1	ENSG00000235434
1	20209005	OTUD3	ENSG00000169914
1	20306931	PLA2G2A	ENSG00000188257
1	20354671	PLA2G5	ENSG00000127472
1	20446049	PLA2G2D	ENSG00000117215
1	20465818	PLA2G2F	ENSG00000158786
1	20480830	Z98257.1	ENSG00000227066
1	20503916	PLA2G2C	ENSG00000187980
1	20512577	UBXN10	ENSG00000162543
1	20512978	UBXN10-AS1	ENSG00000225986
1	20569587	LINC01757	ENSG00000228105
1	20617411	VWA5B1	ENSG00000158816
1	20739745	AL139254.1	ENSG00000226487
1	20757726	LINC01141	ENSG00000236963
1	20812712	CAMK2N1	ENSG00000162545
1	20834653	MUL1	ENSG00000090432
1	20852481	RPS4XP4	ENSG00000215520
1	20878931	FAM43B	ENSG00000183114
1	20915440	CDA	ENSG00000158825
1	20959947	PINK1	ENSG00000158828
1	20987999	DDOST	ENSG00000244038
1	21044509	KIF17	ENSG00000117245
1	21059329	SH2D5	ENSG00000189410
1	21059372	AL663074.1	ENSG00000233069
1	21113815	HP1BP3	ENSG00000127483
1	21503376	EIF4G3	ENSG00000075151
1	21592574	AL031005.1	ENSG00000236936
1	21619782	AL031728.1	ENSG00000231105
1	21671996	ECE1	ENSG00000117298
1	21724479	PPP1R11P1	ENSG00000236216
1	21739785	AL592309.1	ENSG00000228823
1	21754459	NBPF2P	ENSG00000227001
1	21754795	HS6ST1P1	ENSG00000187952
1	21766620	NBPF3	ENSG00000142794
1	21835857	ALPL	ENSG00000162551
1	21912964	LINC02596	ENSG00000233431
1	21995800	RAP1GAP	ENSG00000076864
1	22110098	USP48	ENSG00000090686
1	22138757	LDLRAD2	ENSG00000187942
1	22263789	HSPG2	ENSG00000142798
1	22303513	CELA3B	ENSG00000219073
1	22314308	RNU6-1022P	ENSG00000201919
1	22328148	CELA3A	ENSG00000142789
1	22337477	RNU6-776P	ENSG00000201273
1	22351460	LINC01635	ENSG00000228397
1	22351680	LINC00339	ENSG00000218510
1	22379119	CDC42	ENSG00000070831
1	22385689	CDC42-IT1	ENSG00000230068
1	22395319	AL031281.1	ENSG00000271428
1	22470461	WNT4	ENSG00000162552
1	22649823	PPIAP34	ENSG00000234397
1	22778343	ZBTB40	ENSG00000184677
1	22843966	ZBTB40-IT1	ENSG00000237200
1	22890056	EPHA8	ENSG00000070886
1	22962998	C1QA	ENSG00000173372
1	22970122	C1QC	ENSG00000159189
1	22979254	C1QB	ENSG00000173369
1	23037331	EPHB2	ENSG00000133216
1	23291830	LACTBL1	ENSG00000215906
1	23342342	TEX46	ENSG00000227868
1	23345940	KDM1A	ENSG00000004487
1	23347043	AL031428.1	ENSG00000240553
1	23466817	AL161672.1	ENSG00000229010
1	23504300	LUZP1	ENSG00000169641
1	23521221	HTR1D	ENSG00000179546
1	23571257	AL109936.1	ENSG00000215381
1	23613244	LINC01355	ENSG00000261326
1	23670828	HNRNPR	ENSG00000125944
1	23694878	ZNF436	ENSG00000125945
1	23695489	ZNF436-AS1	ENSG00000249087
1	23705521	AL109936.2	ENSG00000271420
1	23751232	TCEA3	ENSG00000204219
1	23811060	ASAP3	ENSG00000088280
1	23857711	E2F2	ENSG00000007968
1	23877405	AL021154.1	ENSG00000235052
1	23886284	ID3	ENSG00000117318
1	23907984	MDS2	ENSG00000197880
1	24018268	RPL11	ENSG00000142676
1	24069644	ELOA	ENSG00000011007
1	24104776	ELOA-AS1	ENSG00000236810
1	24104894	PITHD1	ENSG00000057757
1	24117459	LYPLA2	ENSG00000011009
1	24127270	GALE	ENSG00000117308
1	24165109	HMGCL	ENSG00000117305
1	24194783	FUCA1	ENSG00000179163
1	24229226	BTBD6P1	ENSG00000229106
1	24285548	CNR2	ENSG00000188822
1	24285598	PNRC2	ENSG00000189266
1	24307416	SRSF10	ENSG00000188529
1	24367324	AL591178.1	ENSG00000225315
1	24438664	MYOM3	ENSG00000142661
1	24469610	IL22RA1	ENSG00000142677
1	24514448	IFNLR1	ENSG00000185436
1	24526729	AL590683.1	ENSG00000230023
1	24645811	GRHL3	ENSG00000158055
1	24648390	AL138902.1	ENSG00000232298
1	24743423	STPG1	ENSG00000001460
1	24745780	NIPAL3	ENSG00000001461
1	24829386	RCAN3	ENSG00000117602
1	24882514	AL445686.2	ENSG00000264443
1	24882601	NCMAP	ENSG00000184454
1	24958206	SRRM1	ENSG00000133226
1	25071847	CLIC4	ENSG00000169504
1	25287835	AL445471.1	ENSG00000229162
1	25291611	RUNX3	ENSG00000020633
1	25297355	AL445471.2	ENSG00000261025
1	25439610	AL050344.1	ENSG00000233755
1	25451944	AL121994.1	ENSG00000233419
1	25534629	AL031432.1	ENSG00000231953
1	25558992	SYF2	ENSG00000117614
1	25574327	AL031432.3	ENSG00000272432
1	25593626	AL031432.2	ENSG00000261349
1	25598883	RHD	ENSG00000187010
1	25621133	SDHDP6	ENSG00000224183
1	25664406	RSRP1	ENSG00000117616
1	25664704	TMEM50A	ENSG00000183726
1	25725202	AL031284.1	ENSG00000238084
1	25756682	RHCE	ENSG00000188672
1	25757387	MACO1	ENSG00000204178
1	25870070	LDLRAP1	ENSG00000157978
1	25907968	AL606491.1	ENSG00000225643
1	25943958	MAN1C1	ENSG00000117643
1	25985601	AL031280.1	ENSG00000233478
1	26126666	SELENON	ENSG00000162430
1	26145130	MTFR1L	ENSG00000117640
1	26185902	AUNIP	ENSG00000127423
1	26197743	PAQR7	ENSG00000182749
1	26213850	SNRPFP2	ENSG00000229786
1	26215460	AL033528.1	ENSG00000223624
1	26233481	STMN1	ENSG00000117632
1	26324647	PAFAH2	ENSG00000158006
1	26346374	EXTL1	ENSG00000158008
1	26372623	SLC30A2	ENSG00000158014
1	26394926	TRIM63	ENSG00000158022
1	26437663	PDIK1L	ENSG00000175087
1	26485510	FAM110D	ENSG00000197245
1	26496361	ZNF593	ENSG00000142684
1	26496907	AL391650.1	ENSG00000236782
1	26503893	CNKSR1	ENSG00000142675
1	26517051	CATSPER4	ENSG00000188782
1	26536231	AL355877.1	ENSG00000236155
1	26560690	CEP85	ENSG00000130695
1	26589888	AL355877.2	ENSG00000270733
1	26605666	SH3BGRL3	ENSG00000142669
1	26644447	CD52	ENSG00000169442
1	26644853	UBXN11	ENSG00000158062
1	26653178	AL451139.1	ENSG00000225854
1	26680620	CRYBG2	ENSG00000176092
1	26701012	ZNF683	ENSG00000176083
1	26737268	LIN28A	ENSG00000131914
1	26758772	DHDDS	ENSG00000117682
1	26781677	AL513365.1	ENSG00000223583
1	26793772	AL513365.2	ENSG00000225891
1	26798940	HMGN2	ENSG00000198830
1	26846740	DPPA2P2	ENSG00000224129
1	26856251	RPS6KA1	ENSG00000117676
1	27020621	AL512408.1	ENSG00000260063
1	27022523	ARID1A	ENSG00000117713
1	27113962	PIGV	ENSG00000060642
1	27153200	ZDHHC18	ENSG00000204160
1	27189632	SFN	ENSG00000175793
1	27216787	GPN2	ENSG00000142751
1	27226956	GPATCH3	ENSG00000198746
1	27228772	NUDC	ENSG00000090273
1	27240456	NR0B2	ENSG00000131910
1	27286896	KDF1	ENSG00000175707
1	27310118	AL356390.1	ENSG00000224064
1	27312830	OSTCP2	ENSG00000225294
1	27320197	TRNP1	ENSG00000253368
1	27339326	TENT5B	ENSG00000158246
1	27493471	SLC9A1	ENSG00000090020
1	27527963	CHCHD3P3	ENSG00000214973
1	27533420	NPM1P39	ENSG00000225159
1	27560842	AL590640.1	ENSG00000224311
1	27561006	WDTC1	ENSG00000142784
1	27637730	FO393419.3	ENSG00000243659
1	27648650	TMEM222	ENSG00000186501
1	27651819	ACTG1P20	ENSG00000241547
1	27668512	SYTL1	ENSG00000142765
1	27693382	MAP3K6	ENSG00000142733
1	27701314	FCN3	ENSG00000142748
1	27709869	CD164L2	ENSG00000174950
1	27719147	GPR3	ENSG00000181773
1	27816668	WASF2	ENSG00000158195
1	27852315	BX293535.1	ENSG00000237429
1	27930941	AHDC1	ENSG00000126705
1	27961787	FGR	ENSG00000000938
1	27975929	AL031729.1	ENSG00000235912
1	27989232	LINC02574	ENSG00000233975
1	27995978	AL445490.1	ENSG00000225886
1	27998728	IFI6	ENSG00000126709
1	28052489	FAM76A	ENSG00000009780
1	28065601	AL020997.1	ENSG00000231344
1	28099693	STX12	ENSG00000117758
1	28100368	AL020997.2	ENSG00000269971
1	28146493	AL020997.3	ENSG00000270031
1	28157288	PPP1R8	ENSG00000117751
1	28199054	THEMIS2	ENSG00000130775
1	28241256	RPA2	ENSG00000117748
1	28261503	SMPDL3B	ENSG00000130768
1	28285972	XKR8	ENSG00000158156
1	28317034	AL512288.2	ENSG00000238231
1	28415206	EYA3	ENSG00000158161
1	28422932	SPCS2P4	ENSG00000228589
1	28447831	AL137792.1	ENSG00000214812
1	28520446	PTAFR	ENSG00000169403
1	28559535	DNAJC8	ENSG00000126698
1	28562619	ATP5IF1	ENSG00000130770
1	28567963	AL353622.1	ENSG00000270605
1	28573654	AL353622.2	ENSG00000271398
1	28586037	SESN2	ENSG00000130766
1	28655512	MED18	ENSG00000130772
1	28696113	PHACTR4	ENSG00000204138
1	28832454	RCC1	ENSG00000180198
1	28833877	SNHG3	ENSG00000242125
1	28835070	SNORA73B	ENSG00000200087
